brand,week,cinema,digitaldisplayandsearch,digitalvideo,facebook,instagram,localtv,ooh,opentv,paytv,print,radio,tiktok,twitter,youtube
Brand A,2023-01-07,0.0,2.8020814047379,1.8209233700883547,3.767863328952539,0.254906516059226,0.0,0.33167477406022267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brand A,2023-01-14,0.0,2.7988537136635387,2.1140405828862208,0.0,0.0,0.0,1.0949642748165598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brand A,2023-01-21,0.0,2.787596789139666,1.9600481314015032,6.154600707127105,9.926861830806496,0.0,1.5733246644298189,0.0,0.0,0.0,0.0,0.0,0.0,0.32601888003294527
Brand A,2023-01-28,0.0,0.10751454657711866,0.05162032483743806,10.730684674088668,13.719881625966186,0.0,1.8371605287300117,0.0,0.0,0.0,0.0,0.0,0.0,3.139758247145547
Brand A,2023-02-04,0.0,1.7575581548339492,1.541715443127965,10.012119593262822,12.652883845924011,0.0,3.4973480375839214,0.0,0.0,0.0,0.0,0.0,0.0,5.554083944549916
Brand A,2023-02-11,0.0,3.0212792344324813,1.301968250728188,18.602285848539026,20.152685854173143,0.0,4.280729165393894,0.0,0.0,0.0,7.822820953899723,0.0,0.0,7.521324571441457
Brand A,2023-02-18,0.0,1.8948539027327977,1.7820864741287854,13.086838444030013,13.339211926444708,0.0,3.893580238627702,1.7782845730233623,4.74634177878189,0.0,8.720251006824054,0.0,0.0,6.629659339339621
Brand A,2023-02-25,0.0,1.38388493098993,18.620384047705237,9.668075529676535,9.1776902624962,0.0,3.5462486585958453,24.97547389176111,8.66816654303123,0.0,8.720251006824054,0.0,0.0,0.003124761701504071
Brand A,2023-03-04,0.0,3.0157195698629646,2.098876573143383,5.682349827481461,6.134097328153921,0.0,4.41318708086157,18.29927003885879,2.7641036878271397,0.0,8.178221263058202,0.0,0.0,2.714085516650303
Brand A,2023-03-11,0.0,6.969593596771515,4.973830104558895,3.6852109026232394,4.570479490738785,0.0,4.6988580289803705,12.326144906482753,2.849844108098618,0.0,4.41908444085123,0.0,0.0,7.830743951072258
Brand A,2023-03-18,0.0,6.117548699262422,5.591551377691993,3.5309093186489324,4.566285006500535,0.0,4.715097025238206,12.379320226246314,4.060053007399534,0.0,5.260732408918884,0.0,0.0,3.7807123838022503
Brand A,2023-03-25,0.0,6.095446046990398,5.593904804180042,35.31860022013733,8.252788673388793,0.0,4.715097025238206,7.199296806164302,2.3705502602131,0.0,5.260732408918884,0.0,0.0,0.007930764640237828
Brand A,2023-04-01,0.0,6.613268503994996,6.309923142766716,3.9964894011351726,4.797773795890624,0.03841048391227332,3.737389886452054,0.0,3.8187645481831964,0.0,4.885740135111902,0.0,0.0,0.12038296374840003
Brand A,2023-04-08,0.0,0.22692398899228472,1.2106302636379405,2.3223126327951524,4.964205642321615,0.006401747318050576,0.5186364478190459,0.0,0.6364607580305328,0.0,67.80291244708442,0.0,0.0,1.2872463905555822
Brand A,2023-04-15,0.0,0.0,0.0,4.288996005051485,12.307671408975942,0.0,0.0,0.0,0.0,0.0,11.300485408509058,0.0,0.0,3.9845740515386248
Brand A,2023-04-22,0.0,1.7060843415373503,0.0,6.365591612668685,85.84587345856356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416927712739392
Brand A,2023-04-29,0.0,2.009155018771198,0.0,8.021449659155401,7.571430417627308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865548893611815
Brand A,2023-05-06,0.0,0.2143074876200416,0.0,4.2065777210103885,3.358375259248326,2.795386626210666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1226603020186412
Brand A,2023-05-13,0.0,0.0,1.078867780950762,6.602078003312043,6.110978173585871,0.4658977709740762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852086318309432
Brand A,2023-05-20,0.0,0.0,2.3101296744542914,7.736688846786034,6.718929671329526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6290994619403358
Brand A,2023-05-27,0.0,0.0,8.652785432800763e-07,9.37882936221812,7.2733269358946675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.532546399596177
Brand A,2023-06-03,0.0,0.0,0.0,4.471763068656481,4.123532151010394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1438036668151437
Brand A,2023-06-10,0.0,0.9136381276320983,0.0,4.9491586406173,6.069952731809527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44286801886492017
Brand A,2023-06-17,0.0,0.7424273455523784,0.0,4.472514787294191,4.921014793033037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47873967306931636
Brand A,2023-06-24,0.0,0.2989903112562138,0.0,8.684850611851232,8.193404423634735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614077711822306
Brand A,2023-07-01,0.0,1.3992117918257146e-06,0.0,8.856727938210318,9.250823910993656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6183218962113948
Brand A,2023-07-08,0.0,0.0,0.0,21.523127514174078,26.231218136554432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258309929556902
Brand A,2023-07-15,0.0,0.0,0.0,17.51593676938896,2.762012672612463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954905467384437
Brand A,2023-07-22,0.0,0.0,0.0,6.13916473501761,6.154516264724812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4769435980829268
Brand A,2023-07-29,0.0,0.07121822670253507,0.0,8.22795413049481,7.836686574119907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20653225450178786
Brand A,2023-08-05,0.0,0.0985532317089009,0.0,6.774934348009782,6.543545996471353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506107660014132
Brand A,2023-08-12,0.0,0.3055424111950228,0.0,6.496060023395114,6.308106981865452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3883282030269366
Brand A,2023-08-19,0.0,0.3885726206456933,0.0,8.460542245061252,7.177828412173082,0.0,0.0,0.0,0.0,0.0,21.88600120636549,0.0,0.0,3.0219655015330535
Brand A,2023-08-26,0.0,0.8246880404239033,0.0,12.41029264815108,9.566146049641118,0.0,0.0,0.0,0.0,0.0,3.647666867727581,0.0,0.0,1.7790593871061766
Brand A,2023-09-02,0.0,2.356610411080628,2.049544688095446,5.597741867670809,3.85549869337227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1148885021269686
Brand A,2023-09-09,0.0,2.3638145740359224,2.495191412255062,5.164491436834419,3.256551165249337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3638034655108997
Brand A,2023-09-16,0.0,3.066085043848996,1.4387137264076069,9.591376352714052,3.767442468770831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.202187765761285
Brand A,2023-09-23,0.0,3.1555879623370733,1.357481960702592,6.9774659617520705,4.103750846876598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0744213780495744
Brand A,2023-09-30,0.0,0.5418570105161643,0.2245854292487674,8.285896640538631,4.758558324778015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032551002487959
Brand A,2023-10-07,0.0,0.0,0.0,8.97590337025877,5.205525744198938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043388612803024
Brand A,2023-10-14,0.0,0.0,0.0,9.362870187027,5.399727485435729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003820245515871
Brand A,2023-10-21,0.0,0.0,0.0,7.6150780927562485,4.807159480381131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416226465026763
Brand A,2023-10-28,0.0,0.0,0.0,8.043863263822912,4.749438868783984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0306730914023907
Brand A,2023-11-04,0.0,0.37940695657157547,0.7566264292346901,6.827346971489699,5.865738199441718,0.0,0.11104744501258415,0.0,0.0,0.0,0.0,0.0,0.0,2.156250406487047
Brand A,2023-11-11,0.0,1.538099415041531,1.1889786267216764,6.1283585950167465,7.145776501771483,0.0,0.17397433047578606,0.0,0.0,0.0,33.9493551934498,0.0,0.0,2.1676514429038396
Brand A,2023-11-18,0.0,1.6663962215377666,1.3206567717196025,6.816636825782325,6.379293609270207,0.0,0.18137749343269616,0.0,0.0,0.0,0.0,0.0,0.0,2.202519024026687
