number,value,datetime_start,datetime_complete,duration,params_candidate__cinema,params_candidate__digitaldisplayandsearch,params_candidate__digitalvideo,params_candidate__facebook,params_candidate__instagram,params_candidate__localtv,params_candidate__ooh,params_candidate__opentv,params_candidate__paytv,params_candidate__print,params_candidate__radio,params_candidate__tiktok,params_candidate__twitter,params_candidate__youtube,system_attrs_tpe:relative_params:0,state
1829,1706.6956168405575,2026-09-21 11:45:19.085287,2026-09-21 11:45:19.744095,0 days 00:00:00.658808,5,12,15,3,13,0,16,4,7,14,3,13,17,16,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 3, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 4, ""candidate__paytv"": 7, ""candidate__print"": 14, ""candidate__radio"": 3, ""candidate__tiktok"": 13, ""candidate__twitter"": 17, ""candidate__youtube"": 16}",COMPLETE
1830,1970.2419749506207,2026-09-21 11:45:19.768788,2026-09-21 11:45:20.306018,0 days 00:00:00.537230,7,14,15,3,14,0,16,4,6,13,3,8,17,14,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 3, ""candidate__instagram"": 14, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 4, ""candidate__paytv"": 6, ""candidate__print"": 13, ""candidate__radio"": 3, ""candidate__tiktok"": 8, ""candidate__twitter"": 17, ""candidate__youtube"": 14}",PRUNED
1831,1703.8618249967049,2026-09-21 11:45:20.322845,2026-09-21 11:45:21.213115,0 days 00:00:00.890270,7,13,15,1,16,0,16,3,8,11,8,12,17,15,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 16, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 3, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 8, ""candidate__tiktok"": 12, ""candidate__twitter"": 17, ""candidate__youtube"": 15}",COMPLETE
1832,2062.7574862194256,2026-09-21 11:45:21.236453,2026-09-21 11:45:21.572476,0 days 00:00:00.336023,6,17,15,2,12,0,16,3,8,13,8,12,15,15,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 3, ""candidate__paytv"": 8, ""candidate__print"": 13, ""candidate__radio"": 8, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
1833,2073.433948046425,2026-09-21 11:45:21.590651,2026-09-21 11:45:21.955174,0 days 00:00:00.364523,5,15,15,1,13,1,16,8,10,11,5,9,12,15,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 10, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 9, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",PRUNED
1834,2059.079612215377,2026-09-21 11:45:21.973539,2026-09-21 11:45:22.396412,0 days 00:00:00.422873,8,14,15,1,12,0,17,5,5,10,9,12,13,14,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 5, ""candidate__paytv"": 5, ""candidate__print"": 10, ""candidate__radio"": 9, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 14}",PRUNED
1835,2079.020340966195,2026-09-21 11:45:22.415908,2026-09-21 11:45:22.803290,0 days 00:00:00.387382,8,15,16,1,13,0,15,2,7,12,8,13,13,15,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 2, ""candidate__paytv"": 7, ""candidate__print"": 12, ""candidate__radio"": 8, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
1836,1704.4304301134391,2026-09-21 11:45:22.823290,2026-09-21 11:45:23.443583,0 days 00:00:00.620293,12,16,15,2,14,0,16,1,6,15,5,13,14,15,"{""candidate__cinema"": 12, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 14, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 1, ""candidate__paytv"": 6, ""candidate__print"": 15, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",COMPLETE
1837,2060.6774519441146,2026-09-21 11:45:23.462140,2026-09-21 11:45:23.855494,0 days 00:00:00.393354,8,13,15,2,13,0,17,2,5,10,5,13,15,15,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 2, ""candidate__paytv"": 5, ""candidate__print"": 10, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
1838,1970.0663317305798,2026-09-21 11:45:23.873562,2026-09-21 11:45:24.435661,0 days 00:00:00.562099,6,16,16,2,13,0,17,3,7,12,7,12,14,16,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 2, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 3, ""candidate__paytv"": 7, ""candidate__print"": 12, ""candidate__radio"": 7, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",PRUNED
