number,value,datetime_start,datetime_complete,duration,params_candidate__cinema,params_candidate__digitaldisplayandsearch,params_candidate__digitalvideo,params_candidate__facebook,params_candidate__instagram,params_candidate__localtv,params_candidate__ooh,params_candidate__opentv,params_candidate__paytv,params_candidate__print,params_candidate__radio,params_candidate__tiktok,params_candidate__twitter,params_candidate__youtube,system_attrs_tpe:relative_params:0,state
0,1729.9225485342777,2026-09-21 11:07:07.726550,2026-09-21 11:07:08.495087,0 days 00:00:00.768537,3,7,17,1,8,17,3,16,10,14,5,7,5,16,,COMPLETE
1,1729.9225485342777,2026-09-21 11:29:04.471432,2026-09-21 11:29:04.951570,0 days 00:00:00.480138,3,7,17,1,8,17,3,16,10,14,5,7,5,16,,COMPLETE
2,1734.0644768960804,2026-09-21 11:29:04.965940,2026-09-21 11:29:05.444214,0 days 00:00:00.478274,0,8,10,6,12,16,0,2,4,11,4,17,2,0,,COMPLETE
3,1732.5188702242724,2026-09-21 11:29:05.456849,2026-09-21 11:29:05.923903,0 days 00:00:00.467054,8,12,15,12,9,8,4,9,10,8,3,8,16,5,,COMPLETE
4,1730.4771385779975,2026-09-21 11:29:05.942483,2026-09-21 11:29:06.412694,0 days 00:00:00.470211,0,4,3,3,12,13,15,1,3,17,0,8,0,11,,COMPLETE
5,1729.5287944366962,2026-09-21 11:29:06.426448,2026-09-21 11:29:06.863017,0 days 00:00:00.436569,17,8,6,11,12,10,10,1,17,11,4,16,3,6,,COMPLETE
6,1720.1390179273296,2026-09-21 11:29:06.877589,2026-09-21 11:29:07.336057,0 days 00:00:00.458468,9,6,9,8,4,12,1,2,14,13,5,15,13,16,,COMPLETE
7,1728.079527235548,2026-09-21 11:29:07.352513,2026-09-21 11:29:07.839482,0 days 00:00:00.486969,5,3,4,14,15,1,10,17,12,1,10,17,16,11,,COMPLETE
8,1725.9136638486998,2026-09-21 11:29:07.852737,2026-09-21 11:29:08.302324,0 days 00:00:00.449587,16,3,16,5,16,7,5,11,11,11,10,8,16,12,,COMPLETE
9,1720.277366463518,2026-09-21 11:29:08.315628,2026-09-21 11:29:08.771831,0 days 00:00:00.456203,7,12,17,1,7,2,16,12,12,10,1,17,15,15,,COMPLETE
10,1725.4139358814084,2026-09-21 11:29:08.786845,2026-09-21 11:29:09.241968,0 days 00:00:00.455123,10,11,5,10,13,13,2,0,10,12,3,12,13,16,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 11, ""candidate__digitalvideo"": 5, ""candidate__facebook"": 10, ""candidate__instagram"": 13, ""candidate__localtv"": 13, ""candidate__ooh"": 2, ""candidate__opentv"": 0, ""candidate__paytv"": 10, ""candidate__print"": 12, ""candidate__radio"": 3, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",COMPLETE
11,1726.1221307189426,2026-09-21 11:29:09.256172,2026-09-21 11:29:09.850504,0 days 00:00:00.594332,8,12,12,0,7,12,7,12,10,8,1,16,17,17,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 0, ""candidate__instagram"": 7, ""candidate__localtv"": 12, ""candidate__ooh"": 7, ""candidate__opentv"": 12, ""candidate__paytv"": 10, ""candidate__print"": 8, ""candidate__radio"": 1, ""candidate__tiktok"": 16, ""candidate__twitter"": 17, ""candidate__youtube"": 17}",COMPLETE
12,1723.1371118619456,2026-09-21 11:29:09.864191,2026-09-21 11:29:10.313069,0 days 00:00:00.448878,6,12,15,2,2,4,15,13,10,8,5,13,14,15,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 2, ""candidate__localtv"": 4, ""candidate__ooh"": 15, ""candidate__opentv"": 13, ""candidate__paytv"": 10, ""candidate__print"": 8, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",COMPLETE
13,1723.3632777639286,2026-09-21 11:29:10.326912,2026-09-21 11:29:10.769722,0 days 00:00:00.442810,8,7,17,0,10,3,6,10,10,9,3,15,9,10,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 7, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 3, ""candidate__ooh"": 6, ""candidate__opentv"": 10, ""candidate__paytv"": 10, ""candidate__print"": 9, ""candidate__radio"": 3, ""candidate__tiktok"": 15, ""candidate__twitter"": 9, ""candidate__youtube"": 10}",COMPLETE
14,1728.3936401902836,2026-09-21 11:29:10.783535,2026-09-21 11:29:11.257583,0 days 00:00:00.474048,9,5,16,7,2,16,1,4,10,14,4,16,8,16,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 5, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 7, ""candidate__instagram"": 2, ""candidate__localtv"": 16, ""candidate__ooh"": 1, ""candidate__opentv"": 4, ""candidate__paytv"": 10, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 16, ""candidate__twitter"": 8, ""candidate__youtube"": 16}",COMPLETE
15,1724.4696746773225,2026-09-21 11:29:11.271217,2026-09-21 11:29:11.720662,0 days 00:00:00.449445,12,9,13,8,0,16,16,16,14,11,4,12,16,15,"{""candidate__cinema"": 12, ""candidate__digitaldisplayandsearch"": 9, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 8, ""candidate__instagram"": 0, ""candidate__localtv"": 16, ""candidate__ooh"": 16, ""candidate__opentv"": 16, ""candidate__paytv"": 14, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 12, ""candidate__twitter"": 16, ""candidate__youtube"": 15}",COMPLETE
16,1729.7543086170742,2026-09-21 11:29:11.733582,2026-09-21 11:29:12.170673,0 days 00:00:00.437091,9,2,3,8,4,10,15,5,13,13,1,17,11,15,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 2, ""candidate__digitalvideo"": 3, ""candidate__facebook"": 8, ""candidate__instagram"": 4, ""candidate__localtv"": 10, ""candidate__ooh"": 15, ""candidate__opentv"": 5, ""candidate__paytv"": 13, ""candidate__print"": 13, ""candidate__radio"": 1, ""candidate__tiktok"": 17, ""candidate__twitter"": 11, ""candidate__youtube"": 15}",COMPLETE
17,1730.914313307596,2026-09-21 11:29:12.183619,2026-09-21 11:29:12.617263,0 days 00:00:00.433644,10,9,13,7,3,5,8,7,11,12,7,17,14,16,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 9, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 7, ""candidate__instagram"": 3, ""candidate__localtv"": 5, ""candidate__ooh"": 8, ""candidate__opentv"": 7, ""candidate__paytv"": 11, ""candidate__print"": 12, ""candidate__radio"": 7, ""candidate__tiktok"": 17, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",COMPLETE
18,1726.7617712651306,2026-09-21 11:29:12.631065,2026-09-21 11:29:13.068659,0 days 00:00:00.437594,11,13,16,9,4,11,11,11,13,12,5,13,16,12,"{""candidate__cinema"": 11, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 9, ""candidate__instagram"": 4, ""candidate__localtv"": 11, ""candidate__ooh"": 11, ""candidate__opentv"": 11, ""candidate__paytv"": 13, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 16, ""candidate__youtube"": 12}",COMPLETE
19,1731.9748808925585,2026-09-21 11:29:13.081152,2026-09-21 11:29:13.502801,0 days 00:00:00.421649,9,7,5,14,3,17,8,12,14,8,6,13,15,16,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 7, ""candidate__digitalvideo"": 5, ""candidate__facebook"": 14, ""candidate__instagram"": 3, ""candidate__localtv"": 17, ""candidate__ooh"": 8, ""candidate__opentv"": 12, ""candidate__paytv"": 14, ""candidate__print"": 8, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 16}",COMPLETE
20,1716.3488783634477,2026-09-21 11:29:13.515135,2026-09-21 11:29:13.963290,0 days 00:00:00.448155,7,16,15,4,7,8,16,12,16,13,2,12,11,16,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 4, ""candidate__instagram"": 7, ""candidate__localtv"": 8, ""candidate__ooh"": 16, ""candidate__opentv"": 12, ""candidate__paytv"": 16, ""candidate__print"": 13, ""candidate__radio"": 2, ""candidate__tiktok"": 12, ""candidate__twitter"": 11, ""candidate__youtube"": 16}",COMPLETE
21,1729.3398689592639,2026-09-21 11:29:13.977668,2026-09-21 11:29:14.410646,0 days 00:00:00.432978,3,14,13,2,9,4,14,12,11,12,3,16,10,17,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 2, ""candidate__instagram"": 9, ""candidate__localtv"": 4, ""candidate__ooh"": 14, ""candidate__opentv"": 12, ""candidate__paytv"": 11, ""candidate__print"": 12, ""candidate__radio"": 3, ""candidate__tiktok"": 16, ""candidate__twitter"": 10, ""candidate__youtube"": 17}",COMPLETE
22,1722.1030612948707,2026-09-21 11:29:14.431383,2026-09-21 11:29:15.015504,0 days 00:00:00.584121,6,16,14,0,8,1,4,13,11,8,0,12,15,15,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 0, ""candidate__instagram"": 8, ""candidate__localtv"": 1, ""candidate__ooh"": 4, ""candidate__opentv"": 13, ""candidate__paytv"": 11, ""candidate__print"": 8, ""candidate__radio"": 0, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",COMPLETE
23,1723.4487207181508,2026-09-21 11:29:15.028622,2026-09-21 11:29:15.496998,0 days 00:00:00.468376,8,12,16,5,9,3,16,12,15,16,1,13,11,17,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 5, ""candidate__instagram"": 9, ""candidate__localtv"": 3, ""candidate__ooh"": 16, ""candidate__opentv"": 12, ""candidate__paytv"": 15, ""candidate__print"": 16, ""candidate__radio"": 1, ""candidate__tiktok"": 13, ""candidate__twitter"": 11, ""candidate__youtube"": 17}",COMPLETE
24,1730.3021937598835,2026-09-21 11:29:15.510790,2026-09-21 11:29:15.961272,0 days 00:00:00.450482,5,15,13,7,11,10,15,8,13,12,2,11,11,15,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 7, ""candidate__instagram"": 11, ""candidate__localtv"": 10, ""candidate__ooh"": 15, ""candidate__opentv"": 8, ""candidate__paytv"": 13, ""candidate__print"": 12, ""candidate__radio"": 2, ""candidate__tiktok"": 11, ""candidate__twitter"": 11, ""candidate__youtube"": 15}",COMPLETE
25,1728.329266567903,2026-09-21 11:29:15.975002,2026-09-21 11:29:16.427748,0 days 00:00:00.452746,7,12,16,4,8,10,11,15,14,12,2,12,9,17,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 4, ""candidate__instagram"": 8, ""candidate__localtv"": 10, ""candidate__ooh"": 11, ""candidate__opentv"": 15, ""candidate__paytv"": 14, ""candidate__print"": 12, ""candidate__radio"": 2, ""candidate__tiktok"": 12, ""candidate__twitter"": 9, ""candidate__youtube"": 17}",COMPLETE
26,1719.8341568799394,2026-09-21 11:29:16.441847,2026-09-21 11:29:16.886284,0 days 00:00:00.444437,8,13,15,7,8,9,15,11,12,9,7,11,13,16,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 7, ""candidate__instagram"": 8, ""candidate__localtv"": 9, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 12, ""candidate__print"": 9, ""candidate__radio"": 7, ""candidate__tiktok"": 11, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",COMPLETE
27,1710.3602615028005,2026-09-21 11:29:16.899656,2026-09-21 11:29:17.356067,0 days 00:00:00.456411,11,14,15,4,4,9,10,11,13,14,7,14,8,15,"{""candidate__cinema"": 11, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 4, ""candidate__instagram"": 4, ""candidate__localtv"": 9, ""candidate__ooh"": 10, ""candidate__opentv"": 11, ""candidate__paytv"": 13, ""candidate__print"": 14, ""candidate__radio"": 7, ""candidate__tiktok"": 14, ""candidate__twitter"": 8, ""candidate__youtube"": 15}",COMPLETE
28,1719.144850469703,2026-09-21 11:29:17.373991,2026-09-21 11:29:17.874347,0 days 00:00:00.500356,9,16,12,4,7,4,14,12,13,14,7,12,5,15,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 4, ""candidate__instagram"": 7, ""candidate__localtv"": 4, ""candidate__ooh"": 14, ""candidate__opentv"": 12, ""candidate__paytv"": 13, ""candidate__print"": 14, ""candidate__radio"": 7, ""candidate__tiktok"": 12, ""candidate__twitter"": 5, ""candidate__youtube"": 15}",COMPLETE
29,1724.3444608663633,2026-09-21 11:29:17.889013,2026-09-21 11:29:18.328974,0 days 00:00:00.439961,7,16,16,7,8,7,17,17,16,12,5,12,13,17,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 7, ""candidate__instagram"": 8, ""candidate__localtv"": 7, ""candidate__ooh"": 17, ""candidate__opentv"": 17, ""candidate__paytv"": 16, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 17}",COMPLETE
30,1716.6805607791803,2026-09-21 11:29:18.342335,2026-09-21 11:29:18.797690,0 days 00:00:00.455355,7,15,12,6,3,6,16,11,14,14,7,14,5,11,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 6, ""candidate__instagram"": 3, ""candidate__localtv"": 6, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 14, ""candidate__print"": 14, ""candidate__radio"": 7, ""candidate__tiktok"": 14, ""candidate__twitter"": 5, ""candidate__youtube"": 11}",COMPLETE
31,1713.8093605831139,2026-09-21 11:29:18.811586,2026-09-21 11:29:19.263030,0 days 00:00:00.451444,4,15,14,4,7,6,14,11,15,12,6,13,11,16,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 4, ""candidate__instagram"": 7, ""candidate__localtv"": 6, ""candidate__ooh"": 14, ""candidate__opentv"": 11, ""candidate__paytv"": 15, ""candidate__print"": 12, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 11, ""candidate__youtube"": 16}",COMPLETE
32,1711.6016050701382,2026-09-21 11:29:19.276959,2026-09-21 11:29:19.714279,0 days 00:00:00.437320,10,16,10,6,1,6,16,10,13,13,6,15,7,9,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 10, ""candidate__facebook"": 6, ""candidate__instagram"": 1, ""candidate__localtv"": 6, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 13, ""candidate__print"": 13, ""candidate__radio"": 6, ""candidate__tiktok"": 15, ""candidate__twitter"": 7, ""candidate__youtube"": 9}",COMPLETE
33,1721.6252865201275,2026-09-21 11:29:19.726434,2026-09-21 11:29:20.423336,0 days 00:00:00.696902,13,15,10,7,5,7,16,11,14,12,5,14,6,0,"{""candidate__cinema"": 13, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 10, ""candidate__facebook"": 7, ""candidate__instagram"": 5, ""candidate__localtv"": 7, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 14, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 14, ""candidate__twitter"": 6, ""candidate__youtube"": 0}",COMPLETE
34,1725.6311677256836,2026-09-21 11:29:20.439615,2026-09-21 11:29:20.894022,0 days 00:00:00.454407,9,17,17,6,10,8,15,10,16,12,1,7,12,15,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 6, ""candidate__instagram"": 10, ""candidate__localtv"": 8, ""candidate__ooh"": 15, ""candidate__opentv"": 10, ""candidate__paytv"": 16, ""candidate__print"": 12, ""candidate__radio"": 1, ""candidate__tiktok"": 7, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",COMPLETE
35,1718.6778946430866,2026-09-21 11:29:20.906151,2026-09-21 11:29:21.352978,0 days 00:00:00.446827,6,17,16,1,3,6,16,10,17,14,6,13,12,17,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 3, ""candidate__localtv"": 6, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 17, ""candidate__print"": 14, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 12, ""candidate__youtube"": 17}",COMPLETE
36,1735.2195742353963,2026-09-21 11:29:21.366269,2026-09-21 11:29:21.807964,0 days 00:00:00.441695,9,14,14,5,11,10,15,15,15,12,0,13,8,14,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 5, ""candidate__instagram"": 11, ""candidate__localtv"": 10, ""candidate__ooh"": 15, ""candidate__opentv"": 15, ""candidate__paytv"": 15, ""candidate__print"": 12, ""candidate__radio"": 0, ""candidate__tiktok"": 13, ""candidate__twitter"": 8, ""candidate__youtube"": 14}",COMPLETE
37,1713.0288271234442,2026-09-21 11:29:21.821572,2026-09-21 11:29:22.275228,0 days 00:00:00.453656,6,13,13,4,8,9,14,9,14,15,7,15,12,16,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 4, ""candidate__instagram"": 8, ""candidate__localtv"": 9, ""candidate__ooh"": 14, ""candidate__opentv"": 9, ""candidate__paytv"": 14, ""candidate__print"": 15, ""candidate__radio"": 7, ""candidate__tiktok"": 15, ""candidate__twitter"": 12, ""candidate__youtube"": 16}",COMPLETE
38,1720.847084800058,2026-09-21 11:29:22.288805,2026-09-21 11:29:22.751565,0 days 00:00:00.462760,2,15,11,8,8,6,11,11,13,15,5,15,14,14,"{""candidate__cinema"": 2, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 11, ""candidate__facebook"": 8, ""candidate__instagram"": 8, ""candidate__localtv"": 6, ""candidate__ooh"": 11, ""candidate__opentv"": 11, ""candidate__paytv"": 13, ""candidate__print"": 15, ""candidate__radio"": 5, ""candidate__tiktok"": 15, ""candidate__twitter"": 14, ""candidate__youtube"": 14}",COMPLETE
39,1727.8523140668458,2026-09-21 11:29:22.763806,2026-09-21 11:29:23.209331,0 days 00:00:00.445525,7,13,16,3,11,8,13,9,14,11,4,14,9,17,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 3, ""candidate__instagram"": 11, ""candidate__localtv"": 8, ""candidate__ooh"": 13, ""candidate__opentv"": 9, ""candidate__paytv"": 14, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 14, ""candidate__twitter"": 9, ""candidate__youtube"": 17}",COMPLETE
40,1716.8507760079356,2026-09-21 11:29:23.223419,2026-09-21 11:29:23.657251,0 days 00:00:00.433832,5,15,15,4,5,9,10,10,15,14,7,17,9,15,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 4, ""candidate__instagram"": 5, ""candidate__localtv"": 9, ""candidate__ooh"": 10, ""candidate__opentv"": 10, ""candidate__paytv"": 15, ""candidate__print"": 14, ""candidate__radio"": 7, ""candidate__tiktok"": 17, ""candidate__twitter"": 9, ""candidate__youtube"": 15}",COMPLETE
41,1726.4674643793549,2026-09-21 11:29:23.669320,2026-09-21 11:29:24.114254,0 days 00:00:00.444934,2,12,13,6,8,9,15,12,17,14,4,13,9,17,"{""candidate__cinema"": 2, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 6, ""candidate__instagram"": 8, ""candidate__localtv"": 9, ""candidate__ooh"": 15, ""candidate__opentv"": 12, ""candidate__paytv"": 17, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 13, ""candidate__twitter"": 9, ""candidate__youtube"": 17}",COMPLETE
42,1723.1571032488428,2026-09-21 11:29:24.128231,2026-09-21 11:29:24.586274,0 days 00:00:00.458043,9,17,14,2,10,8,17,16,14,15,5,10,11,15,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 2, ""candidate__instagram"": 10, ""candidate__localtv"": 8, ""candidate__ooh"": 17, ""candidate__opentv"": 16, ""candidate__paytv"": 14, ""candidate__print"": 15, ""candidate__radio"": 5, ""candidate__tiktok"": 10, ""candidate__twitter"": 11, ""candidate__youtube"": 15}",COMPLETE
43,1720.5782060693991,2026-09-21 11:29:24.599653,2026-09-21 11:29:25.222231,0 days 00:00:00.622578,10,13,14,4,9,7,17,10,17,13,8,13,12,15,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 4, ""candidate__instagram"": 9, ""candidate__localtv"": 7, ""candidate__ooh"": 17, ""candidate__opentv"": 10, ""candidate__paytv"": 17, ""candidate__print"": 13, ""candidate__radio"": 8, ""candidate__tiktok"": 13, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",COMPLETE
44,1728.4882723300043,2026-09-21 11:29:25.235022,2026-09-21 11:29:25.733923,0 days 00:00:00.498901,1,16,14,4,8,5,15,13,16,11,7,14,11,16,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 4, ""candidate__instagram"": 8, ""candidate__localtv"": 5, ""candidate__ooh"": 15, ""candidate__opentv"": 13, ""candidate__paytv"": 16, ""candidate__print"": 11, ""candidate__radio"": 7, ""candidate__tiktok"": 14, ""candidate__twitter"": 11, ""candidate__youtube"": 16}",COMPLETE
45,1720.5619412495319,2026-09-21 11:29:25.746954,2026-09-21 11:29:26.181442,0 days 00:00:00.434488,4,16,15,3,6,6,14,14,12,11,9,12,12,17,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 3, ""candidate__instagram"": 6, ""candidate__localtv"": 6, ""candidate__ooh"": 14, ""candidate__opentv"": 14, ""candidate__paytv"": 12, ""candidate__print"": 11, ""candidate__radio"": 9, ""candidate__tiktok"": 12, ""candidate__twitter"": 12, ""candidate__youtube"": 17}",COMPLETE
46,1726.5482484936922,2026-09-21 11:29:26.195152,2026-09-21 11:29:26.650941,0 days 00:00:00.455789,3,16,17,3,8,8,15,12,16,14,0,10,9,13,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 3, ""candidate__instagram"": 8, ""candidate__localtv"": 8, ""candidate__ooh"": 15, ""candidate__opentv"": 12, ""candidate__paytv"": 16, ""candidate__print"": 14, ""candidate__radio"": 0, ""candidate__tiktok"": 10, ""candidate__twitter"": 9, ""candidate__youtube"": 13}",COMPLETE
47,1727.4396710589815,2026-09-21 11:29:26.666238,2026-09-21 11:29:27.117845,0 days 00:00:00.451607,4,17,12,5,6,10,14,8,16,13,5,13,11,13,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 5, ""candidate__instagram"": 6, ""candidate__localtv"": 10, ""candidate__ooh"": 14, ""candidate__opentv"": 8, ""candidate__paytv"": 16, ""candidate__print"": 13, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 11, ""candidate__youtube"": 13}",COMPLETE
48,1718.2057507830325,2026-09-21 11:29:27.131415,2026-09-21 11:29:27.589906,0 days 00:00:00.458491,4,14,14,6,8,9,16,11,17,11,7,11,13,14,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 6, ""candidate__instagram"": 8, ""candidate__localtv"": 9, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 17, ""candidate__print"": 11, ""candidate__radio"": 7, ""candidate__tiktok"": 11, ""candidate__twitter"": 13, ""candidate__youtube"": 14}",COMPLETE
49,1726.990991940839,2026-09-21 11:29:27.602891,2026-09-21 11:29:28.043505,0 days 00:00:00.440614,6,15,15,1,10,10,12,11,13,16,8,14,12,14,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 10, ""candidate__ooh"": 12, ""candidate__opentv"": 11, ""candidate__paytv"": 13, ""candidate__print"": 16, ""candidate__radio"": 8, ""candidate__tiktok"": 14, ""candidate__twitter"": 12, ""candidate__youtube"": 14}",COMPLETE
50,2100.669076606821,2026-09-21 11:29:28.056622,2026-09-21 11:29:28.293131,0 days 00:00:00.236509,9,17,13,5,8,11,17,12,15,14,0,11,11,16,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 5, ""candidate__instagram"": 8, ""candidate__localtv"": 11, ""candidate__ooh"": 17, ""candidate__opentv"": 12, ""candidate__paytv"": 15, ""candidate__print"": 14, ""candidate__radio"": 0, ""candidate__tiktok"": 11, ""candidate__twitter"": 11, ""candidate__youtube"": 16}",PRUNED
51,2100.200545556553,2026-09-21 11:29:28.304550,2026-09-21 11:29:28.550543,0 days 00:00:00.245993,6,12,13,4,12,7,15,11,14,14,5,14,10,17,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 13, ""candidate__facebook"": 4, ""candidate__instagram"": 12, ""candidate__localtv"": 7, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 14, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 14, ""candidate__twitter"": 10, ""candidate__youtube"": 17}",PRUNED
52,1717.0292505585292,2026-09-21 11:29:28.562526,2026-09-21 11:29:29.003731,0 days 00:00:00.441205,8,15,12,8,3,3,16,10,12,15,7,13,8,10,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 8, ""candidate__instagram"": 3, ""candidate__localtv"": 3, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 12, ""candidate__print"": 15, ""candidate__radio"": 7, ""candidate__tiktok"": 13, ""candidate__twitter"": 8, ""candidate__youtube"": 10}",COMPLETE
